Recording	Participant	Timeline	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Last_key_press	Last_AOI_viewed	AOI_at_interval_end	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording14	Participant14	Timeline1	image 10	1	image 10	4999	91290				3398	227	15	167	3,77029	12	201,82	33,81	489,21	153,31	6,1	1,05	12,32	73,21	134	51,82	333,97	186,12	9,7
Recording14	Participant14	Timeline1	imagen 1	1	imagen 1	5032	51200				3098	221	14	483	4,19944	10	173,53	46,92	387,8	110,33	6,4	1,5	14,65	64,05	53	232,31	139,58	81,73	4,38
Recording14	Participant14	Timeline1	imagen 2	1	imagen 2	5015	56232				2881	169	17	217	3,53822	14	253,07	35,18	561,29	196,8	8,3	0,99	16,01	116,14	151	160,06	90,83	87,94	3,67
Recording14	Participant14	Timeline1	imagen 3	1	imagen 3	4999	61248				3831	239	16	150	3,83384	13	211,33	32,05	566,97	181,02	5,98	0,88	11,17	77,74	182	135,22	327,93	218,24	11,17
Recording14	Participant14	Timeline1	imagen 4	1	imagen 4	5015	66246				3448	203	17	233	3,77801	14	172,58	33,11	560,07	129,75	5,47	0,94	12,78	76,65	163	191,18	99,04	98,12	3,77
Recording14	Participant14	Timeline1	imagen 7	1	imagen 7	4999	76277				3264	204	16	200	3,5442	14	108,93	31,42	255,05	77,95	3,79	1,09	10,33	53,1	208	222,71	79,13	76,16	2,75
Recording14	Participant14	Timeline1	imagen 8	1	imagen 8	4999	81276				3364	336	10	483	3,5768	5	135,47	55,65	197,98	53,1	4,82	1,83	7,05	24,09	655	172,29	135,42	96,64	4,94
Recording14	Participant14	Timeline1	imagen 9	1	imagen 9	5015	86275				2965	228	13	183	3,70953	11	261,02	47,44	905,29	295,2	7,46	1,73	24,66	82,08	186	218,21	436,48	239,88	11,99
Recording14	Participant14	Timeline1	imagen 11	1	imagen 11	4999	96289				2748	196	14	133	3,7145	12	220,23	71,89	424,67	91,06	7,1	2,52	10,24	85,22	198	301,54	152,02	107,78	5,73
Recording14	Participant14	Timeline1	inagen 5	1	inagen 5	5015	71262				3081	193	16	167	3,88555	11	144,5	50,53	282,83	86,7	4,72	1,56	9,37	51,92	160	40,73	135,61	109	3,99
Recording14	Participant14	Timeline1	Entire Recording	1	image 10,imagen 1,imagen 2,imagen 3,imagen 4,imagen 7,imagen 8,imagen 9,imagen 11,inagen 5	101470	0				66618	275	242	300	3,7759	182	174,53	31,42	957,98	154,79	5,59	0,73	24,66	1018,28	1042	241,77	57,4	51,23	2,02
Recording12	Participant12	Timeline1	image 10	1	image 10	4999	86343				3914	261	15	167	3,28186	14	198,05	38,75	357,12	96,6	5,75	0,92	10,69	80,48	144	52,24	248,01	224,15	8,54
