Recording	Participant	Timeline	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Last_key_press	Last_AOI_viewed	AOI_at_interval_end	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording7	Participant7	Timeline1	image 10	1	image 10	4999	85967				2382	170	14	67	3,48844	5	104,17	41,49	238,28	79,53	2,92	0,7	8	14,58	427	234,67	56,22	56,22	0,83
Recording7	Participant7	Timeline1	imagen 1	1	imagen 1	5015	45927				2781	253	11	283	3,85651	7	91,09	34,24	132,76	41,96	2,69	0,76	4,64	18,8	779	99,12	132,76	82,65	4,32
Recording7	Participant7	Timeline1	imagen 2	1	imagen 2	5015	50943				2515	132	19	83	3,35158	6	199,7	30,32	475,12	217,37	4,06	0,6	10,59	24,36	360	159,49	156,62	156,62	2,83
Recording7	Participant7	Timeline1	imagen 3	1	imagen 3	4999	55958				3381	199	17	117	3,45916	9	105,17	35,94	245,46	78,93	2,65	0,47	5,81	23,82	841	203,96	62,03	49,82	2,85
Recording7	Participant7	Timeline1	imagen 4	1	imagen 4	4999	60957				3447	287	12	233	3,47564	9	129,27	34,56	313,18	83,21	3,24	0,98	5,51	29,18	206	35,68	178,36	121,01	4,66
Recording7	Participant7	Timeline1	imagen 7	1	imagen 7	5015	65956				2465	164	15	67	3,17082	9	159,66	32,1	492,04	144,03	3,48	0,92	8,52	31,33	170	340,42	186,75	115,4	4,77
Recording7	Participant7	Timeline1	imagen 8	1	imagen 8	4999	70971				2232	186	12	483	3,07406	5	69,78	32,44	115,91	36,74	2,08	0,55	4,17	10,42	351	330,8	32,44	32,44	1,13
Recording7	Participant7	Timeline1	imagen 9	1	imagen 9	4999	75970				3181	227	14	83	3,33571	6	200,86	59,59	652,39	224,35	4,6	1,37	13,06	27,58	615	27,1	59,59	59,59	1,37
Recording7	Participant7	Timeline1	imagen 11	1	imagen 11	5015	90966				1549	141	11	100	3,16054	3	210,34	52,17	505,08	255,48	3,32	0,6	8,01	9,95	1140	5,9	52,17	52,17	0,6
Recording7	Participant7	Timeline1	inagen 5	1	inagen 5	4999	80969				2315	165	14	133	3,55641	1	130,33	130,33	130,33		2,82	2,82	2,82	2,82	3960	258,46	130,33	82,11	2,82
Recording7	Participant7	Timeline1	Entire Recording	1	image 10,imagen 1,imagen 2,imagen 3,imagen 4,imagen 7,imagen 8,imagen 9,imagen 11,inagen 5	96134	0				57009	225	253	150	3,32931	106	117,91	30,32	652,39	113,43	2,75	0,3	13,06	291,27	2305	269,41	91,95	91,95	2,14
Recording11	Participant11	Timeline1	image 10	1	image 10	5016	87436				3947	439	9	133	3,73796	9	82,52	37,02	239,32	62,78	2,51	0,88	5,2	22,56	233	233,12	83,92	66,53	3,18
Recording11	Participant11	Timeline1	imagen 1	1	imagen 1	5015	47395				3331	278	12	350	4,08774	11	91,04	34,9	247,09	63,74	2,83	0,92	5,38	31,12	902	68,14	40,57	40,57	1,59
Recording11	Participant11	Timeline1	imagen 2	1	imagen 2	4999	52411				3964	248	16	233	3,68898	15	192,65	34,96	498,93	131,97	4,92	1,12	8,74	73,81	17	92,36	34,96	34,96	1,12
Recording11	Participant11	Timeline1	imagen 3	1	imagen 3	5015	57410				3964	283	14	316	3,83457	14	143,36	31,69	383,96	113,46	3,95	0,74	10,73	55,24	381	72,45	31,69	31,69	1,48
Recording11	Participant11	Timeline1	imagen 4	1	imagen 4	5015	62425				3864	429	9	250	3,69189	9	69,54	34,96	127,51	31,05	2,33	1,39	3,39	20,97	195	260,94	50,63	40,37	2
Recording11	Participant11	Timeline1	imagen 7	1	imagen 7	4999	67441				1232	616	2	666	3,4998	3	67,59	55,15	86,74	16,83	2,38	1,68	3,74	7,13	143	13,59	86,74	84,81	3,74
Recording11	Participant11	Timeline1	imagen 8	1	imagen 8	4999	72439				4397	400	11	217	3,40512	12	90,46	30,44	259,65	76,15	3,12	0,51	8,43	37,4	7	27,68	38,72	38,72	0,51
Recording11	Participant11	Timeline1	imagen 9	1	imagen 9	4999	77438				3597	600	6	67	3,49761	6	139,74	31,03	466,94	170,88	3,33	0,52	9,93	19,97	288	311,65	191,83	104,17	5,16
Recording11	Participant11	Timeline1	imagen 11	1	imagen 11	4999	92451				3764	342	11	200	3,57387	10	130,39	58,13	255,71	70,13	3,78	2	6,21	37,84	247	353,2	255,71	255,71	5,53
Recording11	Participant11	Timeline1	inagen 5	1	inagen 5	4999	82437				1549	221	7	200	3,60108	6	116,9	47,25	219,69	64,86	3,93	1,65	5,93	23,58	136	30,47	219,69	114,94	5,93
Recording11	Participant11	Timeline1	Entire Recording	1	image 10,imagen 1,imagen 2,imagen 3,imagen 4,imagen 7,imagen 8,imagen 9,imagen 11,inagen 5	97649	0				78010	488	160	150	3,68528	145	116,17	30,44	578,41	97,99	3,52	0,12	13,09	510,78	465	220,01	48,08	48,08	0,96
Recording12	Participant12	Timeline1	image 10	1	image 10	5015	85490				1449	241	6	183	3,29779	6	130,05	45,63	206,72	65,48	3,95	1,19	7,19	23,73	407	239,08	168,33	99,16	5,33
