Recording	Participant	Timeline	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Last_key_press	Last_AOI_viewed	AOI_at_interval_end	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording9	Participant9	Timeline1	image 2	1	image 2	4999	48894				4197	382	11	583	3,70023	12	141,7	34,2	326,92	102,13	4,21	0,95	8,82	50,51	345	75,77	65,04	63,68	2,6
Recording9	Participant9	Timeline1	image 7	1	image 7	5015	73905				2965	228	13	167	3,86897	14	129,6	37,93	386,93	105,8	4,1	0,58	11,05	57,41	266	85,86	68,1	68,1	1,55
Recording9	Participant9	Timeline1	imagen 4	1	imagen 4	4999	58909				4480	373	12	200	3,68353	12	138,42	34,08	246,81	84,13	3,32	1,3	5,21	39,85	207	69,46	238,2	149	4,97
Recording9	Participant9	Timeline1	imagen 5	1	imagen 5	4999	63907				4430	403	11	250	3,92598	12	80,47	30,51	230,31	56,93	2,5	1,22	5,2	29,98	137	43,63	106,45	65,17	3,41
Recording9	Participant9	Timeline1	imagen 10	1	imagen 10	4999	83919				3664	333	11	217	4,64424	11	123,9	32,81	363,84	94	3,79	1,33	10,41	41,66	511	278,3	108,23	66,51	3,56
Recording9	Participant9	Timeline1	Imagen 1	1	Imagen 1	4999	43896				3714	413	9	416	3,78664	10	212,75	34,56	379,81	134,7	5,86	0,98	9,21	58,58	130	37,95	379,81	133,95	8,79
Recording9	Participant9	Timeline1	Imagen 3	1	Imagen 3	5015	53893				4214	383	11	200	3,74708	10	125,1	34,56	242,19	71,07	3,4	0,92	5,43	34,03	625	180,2	125,21	89,62	3,48
Recording9	Participant9	Timeline1	Imagen 6	1	Imagen 6	4999	68906				3831	319	12	183	3,77944	11	151,55	30,26	480,92	165,16	3,98	0,87	11,65	43,82	269	308	76,58	51,6	2,56
Recording9	Participant9	Timeline1	Imagen 8	1	Imagen 8	4999	78920				4280	329	13	100	4,36154	14	277,18	30,87	368,01	105,82	7,48	1,57	10,68	104,74	47	286,11	231,82	180,95	8,95
Recording9	Participant9	Timeline1	imagenes 13	1	imagenes 13	4999	88918				3964	330	12	200	4,13959	13	248,87	30,98	767,01	267,98	5,67	0,6	15,53	73,75	309	339	203,75	187,84	6,98
Recording9	Participant9	Timeline1	Entire Recording	1	image 2,image 7,imagen 4,imagen 5,imagen 10,Imagen 1,Imagen 3,Imagen 6,Imagen 8,imagenes 13	94103	0				83423	497	168	200	3,93119	162	145,28	30,26	767,01	129,8	4,17	0,58	15,53	675,5	275	91,18	79,09	70,22	2,52
Recording18	Participant18	Timeline1	image 2	1	image 2	5015	55673				3497	194	18	150	3,65571	18	151,22	31,84	548,57	128,03	4,57	1,22	14,86	82,2	278	175,95	110,71	102,97	5,49
Recording18	Participant18	Timeline1	image 7	1	image 7	5015	80700				3581	326	11	167	3,85229	11	132,75	44,11	456,16	123,17	4,49	1	14,74	49,35	699	90,9	67,78	49,42	2,04
Recording18	Participant18	Timeline1	imagen 4	1	imagen 4	4999	65703				4363	312	14	217	3,65976	14	148,15	39,4	605,66	159,34	4,13	1,15	12,89	57,85	57	181,88	158,68	88,97	4,48
Recording18	Participant18	Timeline1	imagen 5	1	imagen 5	5016	70702				4014	365	11	183	4,0032	10	78,17	45,13	100,48	15,16	2,4	1,09	3,63	23,99	205	313,98	82,81	66,6	3,63
Recording18	Participant18	Timeline1	imagen 10	1	imagen 10	4999	90714				4214	351	12	250	4,40591	12	79	30,98	209,81	52,11	2,69	0,9	5,78	32,31	62	184,7	41,18	39,62	1,27
Recording18	Participant18	Timeline1	Imagen 1	1	Imagen 1	4999	50674				4147	377	11	583	4,04666	9	49,64	34,11	69,57	11,97	1,53	0,89	2,17	13,76	614	83,74	59,03	59,03	1,66
Recording18	Participant18	Timeline1	Imagen 3	1	Imagen 3	5016	60688				4130	375	11	250	4,05738	12	85,08	49,71	167,77	33,06	2,76	1,42	5,49	33,09	243	300,58	91,95	77,81	3,28
Recording18	Participant18	Timeline1	Imagen 6	1	Imagen 6	4982	75718				3714	309	12	316	3,92487	12	161,43	32,14	335,88	96,97	5,32	1,15	13,02	63,83	319	290,38	32,14	32,14	1,15
Recording18	Participant18	Timeline1	Imagen 8	1	Imagen 8	4999	85715				3481	387	9	816	4,38483	8	189,8	41,91	541,57	195,1	4,88	1,61	10,27	39,05	247	208,73	42,96	40,34	2,35
Recording18	Participant18	Timeline1	imagenes 13	1	imagenes 13	4999	95713				3664	366	10	266	4,27707	9	130,84	61,55	275,77	72,74	4,17	1,68	9,69	37,5	293	227,09	99,54	72,07	2,36
Recording18	Participant18	Timeline1	Entire Recording	1	image 2,image 7,imagen 4,imagen 5,imagen 10,Imagen 1,Imagen 3,Imagen 6,Imagen 8,imagenes 13	100863	0				75046	444	169	167	4,1335	153	121,16	30,98	695,04	113,01	3,85	0,87	14,86	589,15	326	52,81	290,54	290,54	4,75
Recording11	Participant11	Timeline1	image 2	1	image 2	4982	48629				3564	297	12	217	2,72313	12	144,29	40,98	443,98	117,37	4,22	0,72	12,68	50,67	171	151,8	161,9	161,9	2,72
