Recording	Participant	Timeline	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Last_key_press	Last_AOI_viewed	AOI_at_interval_end	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording9	Participante 9	Timeline1	image 2	1	image 2	4999	50145				2382	265	9	167	2,35138	10	124,99	38,48	236,98	64,63	3,29	0,55	7,53	32,93	174	116,75	69,04	69,04	1,26
Recording9	Participante 9	Timeline1	image 7	1	image 7	5032	75155				3581	275	13	117	2,59073	13	107,85	34,41	300,66	79,16	3,17	0,88	6,62	41,16	245	94,94	49,76	41,17	1,35
Recording9	Participante 9	Timeline1	imagen 4	1	imagen 4	4999	60159				2881	360	8	167	2,54411	8	94,33	36,46	227,56	72,8	2,31	0,95	4,1	18,49	86	176,67	36,46	36,46	0,95
Recording9	Participante 9	Timeline1	imagen 5	1	imagen 5	4999	65158				3964	330	12	183	2,45328	11	65,88	37,92	105,93	22,08	1,9	1,14	2,45	20,95	184	243,15	49,5	49,5	1,14
Recording9	Participante 9	Timeline1	imagen 10	1	imagen 10	4999	85186				3864	386	10	700	2,75917	11	110,94	31,72	245,49	62,93	2,78	0,76	5,06	30,54	191	354,76	165,44	165,44	2,52
Recording9	Participante 9	Timeline1	Imagen 1	1	Imagen 1	5015	45130				3614	301	12	833	2,56979	12	137,04	33,18	560,44	146,1	3,75	0,96	13,51	45,06	360	337,49	196,23	114,03	4,53
Recording9	Participante 9	Timeline1	Imagen 3	1	Imagen 3	5015	55144				3114	311	10	167	2,49757	10	125,66	39,21	268,43	69,95	3,46	0,91	5,38	34,55	205	294,12	84,96	60,36	1,9
Recording9	Participante 9	Timeline1	Imagen 6	1	Imagen 6	4999	70157				2515	359	7	500	2,45278	8	85,86	36,62	242,71	68,53	2,4	0,67	4,9	19,21	314	339,32	63,67	63,67	1,27
Recording9	Participante 9	Timeline1	Imagen 8	1	Imagen 8	4999	80188				3631	279	13	300	2,84158	13	183,96	35,25	494,88	166,01	4,57	0,94	10,08	59,41	160	96,49	118,77	113,52	4,44
Recording9	Participante 9	Timeline1	imagenes 13	1	imagenes 13	4999	90185				2415	302	8	350	2,62793	9	112,84	33,71	283,25	81,67	3,5	1,27	5,98	31,48	488	333,89	167,16	150,1	4,83
Recording9	Participante 9	Timeline1	Entire Recording	1	image 2,image 7,imagen 4,imagen 5,imagen 10,Imagen 1,Imagen 3,Imagen 6,Imagen 8,imagenes 13	95385	0				72797	433	168	233	2,52729	158	116,6	31,72	560,44	96,08	3,31	0,55	13,51	522,96	538	214,69	66,65	56,72	2,02
Recording14	Participante 14	Timeline1	image 2	1	image 2	4999	49754				4130	344	12	133	2,97456	12	116,47	37,39	313,96	94,52	3,45	0,92	8,3	41,41	248	350,82	86,61	79,92	2,86
Recording14	Participante 14	Timeline1	image 7	1	image 7	4999	74781				3814	212	18	183	3,13739	19	143,82	32,35	447,2	147,82	4,03	1,22	11,8	76,54	203	45,55	46,56	44,75	1,63
Recording14	Participante 14	Timeline1	imagen 4	1	imagen 4	4999	59768				4613	384	12	150	2,96185	11	174,81	39,11	549,41	150,7	4,38	0,94	13,51	48,21	160	47,1	188,74	119,82	6,04
Recording14	Participante 14	Timeline1	imagen 5	1	imagen 5	5015	64767				4447	342	13	167	3,12277	12	69,17	30,22	174,98	37,31	2,3	1,04	6,65	27,59	174	185,05	174,98	121,93	6,65
Recording14	Participante 14	Timeline1	imagen 10	1	imagen 10	4999	84778				3331	333	10	100	3,48958	9	79,09	48,46	120,6	24,48	2,54	1,42	3,95	22,86	231	58,59	48,46	42,86	2,24
Recording14	Participante 14	Timeline1	Imagen 1	1	Imagen 1	5047	44707				4264	355	12	233	3,33092	12	143,73	38,16	644,61	164,11	3,93	1,03	15,67	47,17	48	129,42	644,61	322,67	15,67
Recording14	Participante 14	Timeline1	Imagen 3	1	Imagen 3	5015	54752				4397	366	12	167	2,93406	12	109,63	32,8	312,06	93,58	3,44	1,06	7,76	41,27	229	258,61	145,17	98,04	5,41
Recording14	Participante 14	Timeline1	Imagen 6	1	Imagen 6	4999	69782				3764	418	9	450	3,21667	10	82,09	32,25	153,79	38,05	2,74	0,85	4,67	27,37	272	319,79	63,87	51,1	2,17
Recording14	Participante 14	Timeline1	Imagen 8	1	Imagen 8	4999	79780				3647	304	12	133	3,33388	13	141,36	39,7	274,47	93,4	4,29	1,18	8,09	55,74	17	273,27	39,7	39,7	1,18
